peakName,gene,TBP,TFIIA,TFIIB,TFIIE,TFIIF
chrVIII_159165_159468,YHR024C,<1,NA,NA,NA,NA
chrXVI_132087_132391,YPL222C-A,<1,NA,NA,NA,NA
chrVII_299727_299979,YGL111W,<1,NA,NA,NA,NA
chrV_126371_126638,YEL015W,<1,NA,NA,NA,NA
chrXV_211949_212291,YOL061W,<1,NA,NA,NA,NA
chrXVI_704540_704920,YPR083W,<1,NA,NA,NA,NA
chrXV_841682_842927,snR31,<1,NA,NA,NA,NA
chrIX_378198_378538,YIR011C,<1,NA,NA,NA,NA
chrXII_286544_286851,YLR079W,<1,NA,NA,NA,NA
chrIV_1496393_1496944,YDR529C,<1,NA,NA,NA,NA
chrVII_858053_858278,YGR181W,<1,NA,NA,NA,NA
chrVIII_159165_159468,YHR025W,<1,NA,NA,NA,NA
chrII_206953_207185,YBL010C,<1,NA,NA,NA,NA
chrXII_1014162_1014434,YLR438C-A,<1,NA,NA,NA,NA
chrXII_81239_81441,YLL029W,<1,NA,NA,NA,NA
chrVII_643719_644080,YGR081C,<1,NA,NA,NA,NA
chrIV_636553_636738,YDR095C,<1,NA,NA,NA,NA
chrXII_302018_302197,YLR085C,<1,NA,NA,NA,NA
chrXIV_570280_570435,YNL034W,<1,NA,NA,NA,NA
chrX_622979_623285,YJR104C,<1,NA,NA,NA,NA
chrVIII_341438_341654,YHR116W,<1,NA,NA,NA,NA
chrIX_195403_195558,YIL089W,<1,NA,NA,NA,NA
chrIV_583485_583679,YDR067C,<1,NA,NA,NA,NA
chrIX_378198_378538,YIR012W,<1,NA,NA,NA,NA
chrXVI_195407_195678,YPL186C,<1,NA,NA,NA,NA
chrIV_283176_283427,YDL099W,<1,NA,NA,NA,NA
chrX_361040_361224,YJL042W,<1,NA,NA,NA,NA
chrIV_238595_238964,YDL126C,<1,NA,NA,NA,NA
chrVII_433018_433337,YGL035C,<1,NA,NA,NA,NA
chrXVI_256683_257082,YPL156C,<1,NA,NA,NA,NA
chrV_184249_184600,YER015W,<1,NA,NA,NA,NA
chrIV_411577_411841,YDL022W,<1,NA,NA,NA,NA
chrXIII_392547_392711,YMR060C,<1,NA,NA,NA,NA
chrXIII_41804_42011,YML115C,<1,NA,NA,NA,NA
chrXII_626899_627186,YLR245C,<1,NA,NA,NA,NA
chrVII_648097_648411,YGR084C,<1,NA,NA,NA,NA
chrXI_451209_451446,YKR006C,<1,NA,NA,NA,NA
chrXV_572957_573171,YOR132W,<1,NA,NA,NA,NA
chrXIV_366470_366791,YNL138W,<1,NA,NA,NA,NA
chrIV_504687_504921,YDR032C,<1,NA,NA,NA,NA
chrVII_650535_650916,YGR086C,<1,NA,NA,NA,NA
chrVI_107009_107284,YFL014W,<1,NA,NA,NA,NA
chrXIII_818585_818850,YMR276W,<1,NA,NA,NA,NA
chrVIII_65856_66077,YHL021C,<1,NA,NA,NA,NA
chrVII_913226_913442,YGR209C,<1,NA,NA,NA,NA
chrIV_1008788_1009016,YDR272W,<1,NA,NA,NA,NA
chrXV_810799_811002,YOR257W,<1,NA,NA,NA,NA
chrIV_589399_589616,YDR071C,<1,NA,NA,NA,NA
chrIII_118394_118633,YCR003W,<1,NA,NA,NA,NA
chrXI_451209_451446,YKR007W,<1,NA,NA,NA,NA
chrXIII_551601_552043,YMR143W,<1,NA,NA,NA,NA
chrX_150748_150963,YJL140W,<1,NA,NA,NA,NA
chrXII_500993_501313,YLR170C,<1,NA,NA,NA,NA
chrXV_943378_943724,YOR332W,<1,NA,NA,NA,NA
chrIV_617168_617378,YDR086C,<1,NA,NA,NA,NA
chrIV_1454443_1454690,YDR502C,<1,NA,NA,NA,NA
chrIV_1428964_1429198,YDR487C,<1,NA,NA,NA,NA
chrX_76382_76840,YJL188C,<1,NA,NA,NA,NA
chrXV_108913_109237,YOL110W,<1,NA,NA,NA,NA
chrIV_381416_381659,YDL040C,<1,NA,NA,NA,NA
chrV_422405_422686,YER130C,<1,NA,NA,NA,NA
chrVIII_67443_67668,YHL020C,<1,NA,NA,NA,NA
chrXV_841682_842927,snR5,<1,NA,NA,NA,NA
chrXVI_191173_191442,YPL188W,<1,NA,NA,NA,NA
chrII_380139_380487,YBR071W,<1,NA,NA,NA,NA
chrVII_508370_508551,YGR008C,<1,NA,NA,NA,NA
chrV_106799_107526,YEL024W,<1,NA,NA,NA,NA
chrVII_427877_428209,YGL037C,<1,NA,NA,NA,NA
chrVII_811476_811806,YGR161W-A,<1,NA,NA,NA,NA
chrVII_811476_811806,YGR161W-B,<1,NA,NA,NA,NA
chrIV_693217_693495,YDR120C,<1,NA,NA,NA,NA
chrIV_1490901_1491095,YDR527W,<1,NA,NA,NA,NA
chrXI_567667_567977,YKR067W,<1,NA,NA,NA,NA
chrIII_105499_105786,YCL009C,<1,NA,NA,NA,NA
chrII_193809_194244,YBL015W,<1,NA,NA,NA,NA
chrXV_849348_849731,YOR285W,<1,NA,NA,NA,NA
chrIV_727541_727748,YDR135C,<1,NA,NA,NA,NA
chrII_164768_164962,YBL029C-A,<1,NA,NA,NA,NA
chrXVI_326451_326618,YPL118W,<1,NA,NA,NA,NA
chrXIV_755031_755220,YNR066C,<1,NA,NA,NA,NA
chrXI_309008_309221,YKL068W-A,<1,NA,NA,NA,NA
chrXVI_100261_100548,YPL237W,<1,NA,NA,NA,NA
chrXII_539569_539789,YLR192C,<1,NA,NA,NA,NA
chrIX_267799_268026,YIL047C,<1,NA,NA,NA,NA
chrXII_931617_932072,YLR406C,<1,NA,NA,NA,NA
chrXII_559357_559564,YLR208W,<1,NA,NA,NA,NA
chrXII_664935_665246,YLR259C,<1,NA,NA,NA,NA
chrXIV_346005_346288,YNL153C,<1,NA,NA,NA,NA
chrIII_122146_122684,YCR005C,<1,NA,NA,NA,NA
chrXVI_242637_242936,YPL163C,<1,NA,NA,NA,NA
chrXVI_125808_126029,YPL225W,<1,NA,NA,NA,NA
chrII_604230_604612,YBR189W,<1,NA,NA,NA,NA
chrVIII_470532_471214,YHR183W,<1,NA,NA,NA,NA
chrIV_1013514_1013942,YDR276C,<1,NA,NA,NA,NA
chrXIII_167116_167669,YML054C,<1,NA,NA,NA,NA
chrXIII_370515_370687,YMR049C,<1,NA,NA,NA,NA
chrIV_234750_234934,YDL127W,<1,NA,NA,NA,NA
chrVI_76615_76878,YFL030W,<1,NA,NA,NA,NA
chrIV_768922_769244,YDR155C,<1,NA,NA,NA,NA
chrX_100795_101159,YJL171C,<1,NA,NA,NA,NA
chrVIII_32748_32929,YHL035C,<1,NA,NA,NA,NA
chrVI_103072_103345,YFL018C,<1,NA,NA,NA,NA
chrXIII_722387_722566,YMR226C,<1,NA,NA,NA,NA
chrIV_746551_746763,YDR145W,<1,NA,NA,NA,NA
chrIV_950368_950598,YDR244W,<1,NA,NA,NA,NA
chrII_217083_217332,YBL006C,<1,NA,NA,NA,NA
chrIV_1056371_1056572,YDR297W,<1,NA,NA,NA,NA
chrIV_857977_858139,YDR204W,<1,NA,NA,NA,NA
chrVIII_175373_175565,YHR033W,<1,NA,NA,NA,NA
chrVIII_187623_187889,YHR039C-A,<1,NA,NA,NA,NA
chrXIII_124052_124446,YML073C,<1,NA,NA,NA,NA
chrVII_905739_905973,YGR204W,<1,NA,NA,NA,NA
chrVIII_175373_175565,YHR032C-A,<1,NA,NA,NA,NA
chrXVI_76066_76561,YPL249C-A,<1,NA,NA,NA,NA
chrII_259606_259981,YBR012W-A,<1,NA,NA,NA,NA
chrII_259606_259981,YBR012W-B,<1,NA,NA,NA,NA
chrIII_258615_259000,YCR082W,<1,NA,NA,NA,NA
chrX_705507_705830,YJR148W,<1,NA,NA,NA,NA
chrXII_626899_627186,YLR246W,<1,NA,NA,NA,NA
chrXVI_704540_704920,YPR082C,<1,NA,NA,NA,NA
chrXVI_497904_498138,YPL028W,<1,NA,NA,NA,NA
chrII_28289_28456,YBL101C,<1,NA,NA,NA,NA
chrII_101124_101335,YBL064C,<1,NA,NA,NA,NA
chrVII_368596_368764,YGL073W,<1,NA,NA,NA,NA
chrXIII_192593_192837,YML042W,<1,NA,NA,NA,NA
chrXVI_339706_340036,YPL111W,<1,NA,NA,NA,NA
chrIV_1206727_1207122,YDR365W-A,<1,NA,NA,NA,NA
chrIV_1206727_1207122,YDR365W-B,<1,NA,NA,NA,NA
chrVII_281121_281335,YGL121C,<1,NA,NA,NA,NA
chrXII_423461_423626,YLR139C,<1,NA,NA,NA,NA
chrIII_69983_70174,YCL028W,<1,NA,NA,NA,NA
chrIV_264902_265165,YDL110C,<1,NA,NA,NA,NA
chrII_419101_419364,YBR085C-A,<1,NA,NA,NA,NA
chrIV_308212_308497,YDL082W,<1,NA,NA,NA,NA
chrVII_321628_321798,YGL097W,<1,NA,NA,NA,NA
chrII_159629_159892,YBL033C,<1,NA,NA,NA,NA
chrII_60617_60994,YBL087C,<1,NA,NA,NA,NA
chrIV_715351_715540,YDR129C,<1,NA,NA,NA,NA
chrXIII_247496_247723,YML010W,<1,NA,NA,NA,NA
chrXIV_542107_542367,YNL046W,<1,NA,NA,NA,NA
chrXII_329193_329414,YLR094C,<1,NA,NA,NA,NA
chrXIV_254211_254492,YNL208W,<1,NA,NA,NA,NA
chrXII_819081_819412,YLR344W,<1,NA,NA,NA,NA
chrIV_1325233_1325497,YDR429C,<1,NA,NA,NA,NA
chrXI_604211_604381,YKR087C,<1,NA,NA,NA,NA
chrV_281513_281777,YER063W,<1,NA,NA,NA,NA
chrXIII_104039_104412,YML081C-A,<1,NA,NA,NA,NA
chrII_111240_111507,YBL058W,<1,NA,NA,NA,NA
chrXI_407182_407420,YKL017C,<1,NA,NA,NA,NA
chrXIV_241520_241736,YNL216W,<1,NA,NA,NA,NA
chrXIV_444165_444583,YNL096C,<1,NA,NA,NA,NA
chrXVI_355337_355604,YPL105C,<1,NA,NA,NA,NA
chrXIII_170193_170495,YML052W,<1,NA,NA,NA,NA
chrIX_383384_383634,YIR017W-A,<1,NA,NA,NA,NA
chrXIV_58001_58198,YNL306W,<1,NA,NA,NA,NA
chrII_28289_28456,YBL100W-C,<1,NA,NA,NA,NA
chrII_257863_258191,YBR011C,<1,NA,NA,NA,NA
chrXV_1018677_1018919,YOR362C,<1,NA,NA,NA,NA
chrIX_241811_241969,YIL064W,<1,NA,NA,NA,NA
chrVII_920311_920733,YGR214W,<1,NA,NA,NA,NA
chrX_623433_623623,YJR105W,<1,NA,NA,NA,NA
chrXIV_758971_759329,YNR067C,<1,NA,NA,NA,NA
chrXVI_645136_646661,YPR036W-A,<1,NA,NA,NA,NA
chrX_469524_469731,YJR021C,<1,NA,NA,NA,NA
chrII_89855_90005,YBL071W-A,<1,NA,NA,NA,NA
chrII_786805_787112,YBR293W,<1,NA,NA,NA,NA
chrIV_491275_491660,YDR025W,<1,NA,NA,NA,NA
chrXIII_777161_777311,YMR253C,<1,NA,NA,NA,NA
chrXV_901041_901437,YOR312C,<1,NA,NA,NA,NA
chrIX_68459_68865,YIL148W,<1,NA,NA,NA,NA
chrVII_157786_157936,YGL181W,<1,NA,NA,NA,NA
chrVII_648735_649164,YGR085C,<1,NA,NA,NA,NA
chrXV_806962_807168,YOR254C,<1,NA,NA,NA,NA
chrIV_465105_465744,YDR010C,<1,NA,NA,NA,NA
chrXI_112470_112619,YKL179C,<1,NA,NA,NA,NA
chrXIII_558444_558687,YMR146C,<1,NA,NA,NA,NA
chrXII_722205_722623,YLR295C,<1,NA,NA,NA,NA
chrXV_92679_93103,YOL121C,<1,NA,NA,NA,NA
chrIV_539688_539838,YDR041W,<1,NA,NA,NA,NA
chrV_270059_270388,YER056C-A,<1,NA,NA,NA,NA
chrVI_155832_155990,YFR005C,<1,NA,NA,NA,NA
chrXVI_822258_822908,YPR145W,<1,NA,NA,NA,NA
chrV_408817_409380,YER124C,<1,NA,NA,NA,NA
chrV_545339_545810,YER177W,<1,NA,NA,NA,NA
chrVI_251753_251921,YFR051C,<1,NA,NA,NA,NA
chrII_392239_392413,YBR077C,<1,NA,NA,NA,NA
chrXI_109022_109454,YKL180W,<1,NA,NA,NA,NA
chrVII_67487_67649,YGL228W,<1,NA,NA,NA,NA
chrXIV_228970_229162,YNL222W,<1,NA,NA,NA,NA
chrXIV_339299_339445,YNL159C,<1,NA,NA,NA,NA
chrIV_1401530_1401963,YDR471W,<1,NA,NA,NA,NA
chrVII_726687_727217,YGR118W,<1,NA,NA,NA,NA
chrII_458349_458825,YBR109W-A,<1,NA,NA,NA,NA
chrXIV_494797_495243,YNL069C,<1,NA,NA,NA,NA
chrXI_431668_432105,YKL006W,<1,NA,NA,NA,NA
chrXIII_759332_760246,YMR246W,<1,NA,NA,NA,NA
chrX_392141_392386,YJL027C,<1,NA,NA,NA,NA
chrX_578018_578390,YJR077C,<1,NA,NA,NA,NA
chrXIV_479086_479272,YNL079C,<1,NA,NA,NA,NA
chrXII_712931_713411,YLR287C-A,<1,NA,NA,NA,NA
chrXIV_542847_543058,YNL045W,<1,NA,NA,NA,NA
chrII_392643_393589,YBR078W,<1,NA,NA,NA,NA
chrV_571029_571277,YER189W,<1,NA,NA,NA,NA
chrXVI_653712_654630,YPR043W,<1,NA,NA,NA,NA
chrIV_455089_455326,YDR004W,<1,NA,NA,NA,NA
chrX_337903_338086,YJL052C-A,<1,NA,NA,NA,NA
chrVIII_209190_209776,YHR050W-A,<1,NA,NA,NA,NA
chrII_87731_88674,snR56,<1,NA,NA,NA,NA
chrVII_810159_810319,YGR161W-C,<1,NA,NA,NA,NA
chrXIV_498464_498640,YNL067W-A,<1,NA,NA,NA,NA
chrXVI_297110_298561,YPL135C-A,<1,NA,NA,NA,NA
chrII_89343_89723,YBL071C-B,<1,NA,NA,NA,NA
chrI_141141_143644,snR18,<1,NA,NA,NA,NA
chrIV_541288_542017,snR47,<1,NA,NA,NA,NA
chrXIII_774213_775384,YMR251W-A,<1,NA,NA,NA,NA
chrVII_557396_557853,YGR035W-A,<1,NA,NA,NA,NA
chrIII_77512_78204,YCL025C,<1,NA,NA,NA,NA
chrXII_782882_783760,YLR327C,<1,NA,NA,NA,NA
chrXII_423461_423626,YLR140W,<1,NA,NA,NA,NA
chrX_628618_628951,YJR108W,<1,NA,NA,NA,NA
chrXII_262957_263583,YLR061W,<1,NA,NA,NA,NA
chrXV_831985_832836,snR8,<1,NA,NA,NA,NA
chrXI_356267_356535,YKL044W,<1,NA,NA,NA,NA
chrXII_53316_54361,YLL041C,<1,NA,NA,NA,NA
chrVIII_557939_558272,YHR218W,<1,NA,NA,NA,NA
chrXV_720138_720416,YOR199W,<1,NA,NA,NA,NA
chrIV_442433_443123,YDL004W,<1,NA,NA,NA,NA
chrXII_672545_673215,YLR264W,<1,NA,NA,NA,NA
chrV_509839_510409,YER165W,<1,NA,NA,NA,NA
chrXVI_132610_132980,YPL221W,<1,NA,NA,NA,NA
chrXV_733447_733959,YOR207C,<1,NA,NA,NA,NA
chrXIII_431088_431593,YMR081C,<1,NA,NA,NA,NA
chrXVI_455406_455620,YPL054W,<1,NA,NA,NA,NA
chrXVI_718449_719651,snR51,<1,NA,NA,NA,NA
chrIV_369447_369605,YDL047W,<1,NA,NA,NA,NA
chrXVI_685381_685925,YPR070W,<1,NA,NA,NA,NA
chrVII_953461_953985,YGR231C,<1,NA,NA,NA,NA
chrVIII_315963_316459,YHR101C,<1,NA,NA,NA,NA
chrIII_172450_172881,YCR028C,<1,NA,NA,NA,NA
chrV_39581_39975,YEL061C,<1,NA,NA,NA,NA
chrVII_667687_668207,YGR092W,<1,NA,NA,NA,NA
chrXI_434951_435283,YKL005C,<1,NA,NA,NA,NA
chrVII_800131_800482,YGR156W,<1,NA,NA,NA,NA
chrXIII_46488_46917,YML111W,<1,NA,NA,NA,NA
chrX_380943_381534,YJL035C,<1,NA,NA,NA,NA
chrXIII_275635_275978,YMR005W,<1,NA,NA,NA,NA
chrXIII_636983_637540,YMR189W,<1,NA,NA,NA,NA
chrXVI_789684_790005,YPR127W,<1,NA,NA,NA,NA
chrIV_578262_578589,YDR063W,<1,NA,NA,NA,NA
chrV_307134_307698,YER074W-A,<1,NA,NA,NA,NA
chrVII_953461_953985,YGR232W,<1,NA,NA,NA,NA
chrII_504377_504858,YBR135W,<1,NA,NA,NA,NA
chrIV_755079_755705,YDR150W,<1,NA,NA,NA,NA
chrIII_177852_179057,YCR031C,<1,NA,NA,NA,NA
chrXIII_880244_880689,YMR305C,<1,NA,NA,NA,NA
chrX_290789_291226,YJL079C,<1,NA,NA,NA,NA
chrV_305619_306560,YER074W,<1,NA,NA,NA,NA
chrXI_188711_189033,YKL135C,<1,NA,NA,NA,NA
chrV_321847_323059,YER081W,<1,NA,NA,NA,NA
chrXI_314246_314912,YKL067W,<1,NA,NA,NA,NA
chrIV_1168688_1169203,YDR347W,<1,NA,NA,NA,NA
chrVIII_422677_423003,YHR162W,<1,NA,NA,NA,NA
chrVI_44347_44897,YFL045C,<1,NA,NA,NA,NA
chrI_171711_172154,YAR018C,<1,NA,NA,NA,NA
chrIV_1054747_1055216,YDR296W,<1,NA,NA,NA,NA
chrXVI_641735_642220,YPR035W,<1,NA,NA,NA,NA
chrVIII_195173_195472,YHR045W,<1,NA,NA,NA,NA
chrXII_179616_180048,YLR018C,<1,NA,NA,NA,NA
chrXIV_575219_577333,YNL031C,<1,NA,NA,NA,NA
chrXV_312343_312843,YOL007C,<1,NA,NA,NA,NA
chrV_448933_449561,YER138W-A,<1,NA,NA,NA,NA
chrXIII_208955_209216,YML035C,<1,NA,NA,NA,NA
chrIV_679757_680221,YDR111C,<1,NA,NA,NA,NA
chrXVI_352180_352819,YPL106C,<1,NA,NA,NA,NA
chrXI_466165_466424,YKR014C,<1,NA,NA,NA,NA
chrXIII_282658_282957,YMR008C,<1,NA,NA,NA,NA
chrIV_198224_198574,YDL145C,<1,NA,NA,NA,NA
