gene,TATA_class
YBR030W,TATA-less
YBR031W,TATA-containing
YBR034C,TATA-containing
YBR035C,TATA-less
YBR036C,TATA-less
YBR037C,TATA-less
YBR038W,TATA-less
YBR039W,TATA-less
YBR042C,TATA-less
YBR043C,TATA-less
YBR046C,TATA-less
YBR048W,TATA-less
YBR049C,TATA-less
YBR052C,TATA-less
YBR053C,TATA-less
YBR054W,TATA-containing
YBR055C,TATA-containing
YBR056W,TATA-less
YBR056W-A,TATA-less
YBR057C,TATA-less
YBR058C,TATA-less
YBR058C-A,TATA-less
YBR059C,TATA-less
YBR060C,TATA-less
YBR061C,TATA-less
YBR062C,TATA-less
YBR065C,TATA-less
YBR066C,TATA-containing
YBR067C,TATA-containing
YBR068C,TATA-containing
YBR069C,TATA-containing
YBR070C,TATA-less
YBR071W,TATA-less
YBR073W,TATA-containing
YBR074W,TATA-less
YBR076C-A,TATA-containing
YBR077C,TATA-less
YBR078W,TATA-less
YBR079C,TATA-less
YBR080C,TATA-less
YBR081C,TATA-less
YBR082C,TATA-less
YBR083W,TATA-containing
YBR084C-A,TATA-less
YBR084W,TATA-less
YBR085C-A,TATA-containing
YBR085W,TATA-less
YBR086C,TATA-less
YBR087W,TATA-less
YBR088C,TATA-containing
YBR090C,TATA-less
YBR091C,TATA-less
YBR092C,TATA-containing
YBR093C,TATA-containing
YBR095C,TATA-less
YBR096W,TATA-less
YBR097W,TATA-less
YBR101C,TATA-less
YBR102C,TATA-less
YBR103W,TATA-less
YBR104W,TATA-less
YBR105C,TATA-containing
YBR106W,TATA-less
YBR107C,TATA-less
YBR108W,TATA-less
YBR109C,TATA-less
YBR110W,TATA-less
YBR111C,TATA-containing
YBR111W-A,TATA-less
YBR112C,TATA-less
YBR114W,TATA-containing
YBR115C,TATA-containing
YBR118W,TATA-containing
YBR119W,TATA-less
YBR120C,TATA-less
YBR121C,TATA-less
YBR122C,TATA-less
YBR123C,TATA-less
YBR125C,TATA-containing
YBR126C,TATA-containing
YBR126W-A,TATA-less
YBR127C,TATA-less
YBR129C,TATA-less
YBR130C,TATA-less
YBR131W,TATA-less
YBR132C,TATA-containing
YBR133C,TATA-containing
YBR135W,TATA-containing
YBR136W,TATA-less
YBR137W,TATA-less
YBR138C,TATA-less
YBR139W,TATA-containing
YBR141W-A,TATA-less
YBR142W,TATA-less
YBR143C,TATA-less
YBR145W,TATA-containing
YBR146W,TATA-less
YBR149W,TATA-containing
YBR150C,TATA-less
YBR151W,TATA-less
YBR152W,TATA-less
YBR153W,TATA-less
YBR154C,TATA-containing
YBR156C,TATA-less
YBR157C,TATA-containing
YBR158W,TATA-containing
YBR159W,TATA-less
YBR160W,TATA-less
YBR161W,TATA-less
YBR162C,TATA-less
YBR162W-A,TATA-less
YBR163W,TATA-less
YBR164C,TATA-containing
YBR165W,TATA-less
YBR168W,TATA-less
YBR170C,TATA-less
YBR172C,TATA-less
YBR173C,TATA-less
YBR175W,TATA-less
YBR176W,TATA-less
YBR179C,TATA-less
YBR181C,TATA-less
YBR183W,TATA-less
YBR185C,TATA-less
YBR187W,TATA-less
YBR189W,TATA-less
YBR191W,TATA-less
YBR192W,TATA-less
YBR193C,TATA-less
YBR195C,TATA-less
YBR196C,TATA-containing
YBR197C,TATA-less
YBR198C,TATA-less
YBR199W,TATA-less
YBR200W,TATA-less
YBR201C-A,TATA-containing
YBR201W,TATA-less
YBR202W,TATA-less
YBR205W,TATA-less
YBR207W,TATA-less
YBR208C,TATA-less
YBR209W,TATA-less
YBR210W,TATA-less
YBR211C,TATA-less
YBR212W,TATA-less
YBR214W,TATA-less
YBR215W,TATA-less
YBR217W,TATA-less
YBR218C,TATA-less
YBR220C,TATA-less
YBR221C,TATA-less
YBR222C,TATA-containing
YBR228W,TATA-less
YBR229C,TATA-less
YBR230C,TATA-containing
YBR231C,TATA-less
YBR233W-A,TATA-less
YBR234C,TATA-less
YBR236C,TATA-less
YBR237W,TATA-less
YBR238C,TATA-less
YBR242W,TATA-containing
YBR243C,TATA-less
YBR244W,TATA-containing
YBR246W,TATA-less
YBR247C,TATA-less
YBR248C,TATA-less
YBR249C,TATA-less
YBR251W,TATA-less
YBR252W,TATA-containing
YBR253W,TATA-less
YBR255C-A,TATA-less
YBR256C,TATA-containing
YBR257W,TATA-less
YBR258C,TATA-less
YBR261C,TATA-less
YBR262C,TATA-containing
YBR264C,TATA-less
YBR265W,TATA-less
YBR267W,TATA-less
YBR268W,TATA-less
YBR269C,TATA-less
YBR271W,TATA-less
YBR272C,TATA-containing
YBR275C,TATA-less
YBR279W,TATA-less
YBR281C,TATA-less
YBR282W,TATA-less
YBR283C,TATA-less
YBR284W,TATA-less
YBR286W,TATA-containing
YBR287W,TATA-containing
YBR289W,TATA-less
YBR290W,TATA-containing
YBR291C,TATA-less
YBR293W,TATA-less
YBR295W,TATA-containing
YBR296C,TATA-containing
YBR297W,TATA-less
YBR298C,TATA-containing
YCL001W,TATA-less
YCL005W,TATA-less
YCL008C,TATA-less
YCL009C,TATA-less
YCL010C,TATA-less
YCL011C,TATA-less
YCL014W,TATA-less
YCL016C,TATA-less
YCL017C,TATA-less
YCL024W,TATA-less
YCL025C,TATA-containing
YCL027W,TATA-less
YCL029C,TATA-less
YCL030C,TATA-less
YCL031C,TATA-less
YCL032W,TATA-less
YCL034W,TATA-containing
YCL035C,TATA-containing
YCL036W,TATA-less
YCL037C,TATA-less
YCL038C,TATA-less
YCL039W,TATA-less
YCL040W,TATA-containing
YCL043C,TATA-containing
YCL044C,TATA-less
YCL045C,TATA-containing
YCL047C,TATA-less
YCL049C,TATA-less
YCL050C,TATA-less
YCL051W,TATA-less
YCL054W,TATA-less
YCL055W,TATA-less
YCL056C,TATA-less
YCL057C-A,TATA-less
YCL057W,TATA-less
YCL058W-A,TATA-less
YCL059C,TATA-less
YCL061C,TATA-less
YCL063W,TATA-less
YCL064C,TATA-containing
YCR002C,TATA-less
YCR003W,TATA-less
YCR004C,TATA-containing
YCR005C,TATA-containing
YCR007C,TATA-less
YCR008W,TATA-containing
YCR009C,TATA-less
YCR011C,TATA-less
YCR012W,TATA-containing
YCR013C,TATA-less
YCR015C,TATA-less
YCR016W,TATA-less
YCR017C,TATA-less
YCR019W,TATA-less
YCR021C,TATA-containing
YCR022C,TATA-less
YCR023C,TATA-less
YCR024C-A,TATA-containing
YCR026C,TATA-containing
YCR027C,TATA-less
YCR028C,TATA-containing
YCR028C-A,TATA-less
YCR030C,TATA-less
YCR031C,TATA-less
YCR033W,TATA-less
YCR034W,TATA-less
YCR035C,TATA-less
YCR036W,TATA-less
YCR037C,TATA-less
YCR042C,TATA-less
YCR043C,TATA-less
YCR044C,TATA-less
YCR045C,TATA-less
YCR046C,TATA-less
YCR047C,TATA-less
YCR048W,TATA-less
YCR051W,TATA-less
YCR052W,TATA-less
YCR053W,TATA-less
YCR054C,TATA-less
YCR057C,TATA-less
YCR060W,TATA-containing
YCR061W,TATA-less
YCR063W,TATA-less
YCR064C,TATA-less
YCR065W,TATA-less
YCR066W,TATA-less
YCR067C,TATA-containing
YCR068W,TATA-less
YCR069W,TATA-less
YCR071C,TATA-less
YCR072C,TATA-containing
YCR073C,TATA-less
YCR073W-A,TATA-less
YCR075C,TATA-less
YCR077C,TATA-less
YCR079W,TATA-less
YCR081W,TATA-less
YCR082W,TATA-less
YCR083W,TATA-less
YCR084C,TATA-less
YCR086W,TATA-less
YCR087C-A,TATA-less
YCR088W,TATA-less
YCR089W,TATA-less
YCR090C,TATA-less
YCR092C,TATA-less
YCR093W,TATA-less
YCR094W,TATA-less
YCR095C,TATA-less
YCR095W-A,TATA-less
YCR097W,TATA-less
YCR106W,TATA-less
YDL001W,TATA-less
YDL002C,TATA-less
YDL003W,TATA-containing
YDL004W,TATA-less
YDL005C,TATA-less
YDL006W,TATA-less
YDL007W,TATA-less
YDL008W,TATA-less
YDL010W,TATA-less
YDL012C,TATA-containing
YDL013W,TATA-less
YDL015C,TATA-less
YDL017W,TATA-less
YDL018C,TATA-less
YDL019C,TATA-less
YDL020C,TATA-containing
YDL022W,TATA-containing
YDL025C,TATA-less
YDL025W-A,TATA-containing
YDL027C,TATA-less
YDL028C,TATA-less
YDL029W,TATA-less
YDL030W,TATA-less
YDL031W,TATA-less
YDL033C,TATA-less
YDL035C,TATA-less
YDL036C,TATA-less
YDL037C,TATA-less
YDL040C,TATA-less
YDL042C,TATA-less
YDL043C,TATA-less
YDL045C,TATA-less
YDL045W-A,TATA-containing
YDL046W,TATA-containing
YDL047W,TATA-less
YDL049C,TATA-less
YDL051W,TATA-less
YDL052C,TATA-less
YDL053C,TATA-containing
YDL054C,TATA-less
YDL055C,TATA-containing
YDL056W,TATA-less
YDL057W,TATA-less
YDL058W,TATA-less
YDL059C,TATA-less
YDL060W,TATA-less
YDL061C,TATA-less
YDL063C,TATA-less
YDL065C,TATA-less
YDL066W,TATA-less
YDL067C,TATA-less
YDL070W,TATA-containing
YDL072C,TATA-less
YDL073W,TATA-less
YDL074C,TATA-less
YDL075W,TATA-less
YDL077C,TATA-less
YDL078C,TATA-containing
YDL080C,TATA-less
YDL081C,TATA-less
YDL082W,TATA-less
YDL083C,TATA-less
YDL084W,TATA-less
YDL085C-A,TATA-less
YDL086C-A,TATA-less
YDL086W,TATA-containing
YDL087C,TATA-less
YDL088C,TATA-less
YDL089W,TATA-less
YDL091C,TATA-less
YDL092W,TATA-less
YDL093W,TATA-less
YDL095W,TATA-less
YDL097C,TATA-less
YDL100C,TATA-less
YDL101C,TATA-less
YDL102W,TATA-less
YDL103C,TATA-less
YDL104C,TATA-less
YDL105W,TATA-less
YDL106C,TATA-less
YDL108W,TATA-less
YDL110C,TATA-containing
YDL111C,TATA-less
YDL112W,TATA-less
YDL115C,TATA-less
YDL116W,TATA-less
YDL117W,TATA-less
YDL119C,TATA-less
YDL120W,TATA-less
YDL121C,TATA-less
YDL123W,TATA-containing
YDL124W,TATA-containing
YDL125C,TATA-less
YDL126C,TATA-less
YDL127W,TATA-containing
YDL128W,TATA-less
YDL129W,TATA-less
YDL130W,TATA-less
YDL130W-A,TATA-less
YDL131W,TATA-containing
YDL132W,TATA-less
YDL133C-A,TATA-containing
YDL135C,TATA-less
YDL136W,TATA-less
YDL138W,TATA-less
YDL139C,TATA-less
YDL141W,TATA-less
YDL143W,TATA-less
YDL144C,TATA-less
YDL145C,TATA-less
YDL146W,TATA-less
YDL147W,TATA-less
YDL148C,TATA-less
YDL150W,TATA-less
YDL153C,TATA-containing
YDL155W,TATA-less
YDL156W,TATA-less
YDL157C,TATA-less
YDL159W,TATA-less
YDL160C,TATA-less
YDL160C-A,TATA-less
YDL161W,TATA-less
YDL164C,TATA-less
YDL166C,TATA-containing
YDL167C,TATA-less
YDL168W,TATA-less
YDL170W,TATA-less
YDL171C,TATA-less
YDL172C,TATA-less
YDL173W,TATA-less
YDL174C,TATA-containing
YDL175C,TATA-less
YDL176W,TATA-less
YDL177C,TATA-less
YDL178W,TATA-less
YDL179W,TATA-less
YDL180W,TATA-less
YDL181W,TATA-less
YDL182W,TATA-containing
YDL184C,TATA-less
YDL185W,TATA-less
YDL188C,TATA-less
YDL189W,TATA-less
YDL190C,TATA-less
YDL191W,TATA-less
YDL192W,TATA-less
YDL193W,TATA-less
YDL194W,TATA-less
YDL195W,TATA-less
YDL196W,TATA-less
YDL197C,TATA-less
YDL198C,TATA-less
YDL201W,TATA-less
YDL202W,TATA-less
YDL203C,TATA-less
YDL204W,TATA-less
YDL205C,TATA-containing
YDL207W,TATA-less
YDL208W,TATA-less
YDL209C,TATA-less
YDL212W,TATA-containing
YDL213C,TATA-less
YDL215C,TATA-less
YDL217C,TATA-less
YDL219W,TATA-less
YDL224C,TATA-less
YDL225W,TATA-less
YDL226C,TATA-less
YDL227C,TATA-less
YDL229W,TATA-containing
YDL230W,TATA-less
YDL231C,TATA-less
YDL232W,TATA-less
YDL235C,TATA-less
YDL236W,TATA-less
YDL240W,TATA-less
YDL241W,TATA-less
YDR001C,TATA-containing
YDR002W,TATA-less
YDR003W,TATA-less
YDR004W,TATA-less
YDR005C,TATA-less
YDR006C,TATA-less
YDR007W,TATA-containing
YDR011W,TATA-less
YDR012W,TATA-less
YDR013W,TATA-less
YDR016C,TATA-less
YDR019C,TATA-containing
YDR020C,TATA-less
YDR022C,TATA-less
YDR023W,TATA-containing
YDR025W,TATA-less
YDR027C,TATA-less
YDR028C,TATA-less
YDR032C,TATA-containing
YDR033W,TATA-containing
YDR034C,TATA-less
YDR035W,TATA-less
YDR036C,TATA-less
YDR037W,TATA-containing
YDR041W,TATA-less
YDR043C,TATA-containing
YDR044W,TATA-containing
YDR045C,TATA-less
YDR046C,TATA-less
YDR047W,TATA-less
YDR049W,TATA-less
YDR050C,TATA-less
YDR051C,TATA-less
YDR052C,TATA-less
YDR054C,TATA-less
YDR055W,TATA-containing
YDR056C,TATA-containing
YDR057W,TATA-less
YDR059C,TATA-containing
YDR061W,TATA-less
YDR062W,TATA-less
YDR064W,TATA-less
YDR068W,TATA-less
YDR069C,TATA-less
YDR071C,TATA-less
YDR072C,TATA-containing
YDR073W,TATA-containing
YDR074W,TATA-less
YDR075W,TATA-less
YDR076W,TATA-less
YDR077W,TATA-containing
YDR078C,TATA-less
YDR080W,TATA-less
YDR081C,TATA-less
YDR082W,TATA-less
YDR083W,TATA-less
YDR084C,TATA-less
YDR086C,TATA-less
YDR087C,TATA-less
YDR088C,TATA-containing
YDR089W,TATA-less
YDR090C,TATA-containing
YDR091C,TATA-less
YDR093W,TATA-less
YDR095C,TATA-less
YDR097C,TATA-less
YDR098C,TATA-less
YDR100W,TATA-less
YDR101C,TATA-less
YDR103W,TATA-less
YDR104C,TATA-less
YDR110W,TATA-less
YDR111C,TATA-less
YDR113C,TATA-less
YDR115W,TATA-less
YDR116C,TATA-less
YDR117C,TATA-less
YDR118W,TATA-less
YDR119W,TATA-less
YDR120C,TATA-less
YDR121W,TATA-less
YDR122W,TATA-less
YDR123C,TATA-less
YDR126W,TATA-containing
YDR127W,TATA-less
YDR128W,TATA-less
YDR129C,TATA-less
YDR130C,TATA-less
YDR131C,TATA-less
YDR132C,TATA-less
YDR134C,TATA-containing
YDR135C,TATA-containing
YDR137W,TATA-less
YDR138W,TATA-less
YDR140W,TATA-containing
YDR141C,TATA-less
YDR142C,TATA-less
YDR143C,TATA-less
YDR144C,TATA-less
YDR145W,TATA-less
YDR146C,TATA-less
YDR147W,TATA-less
YDR148C,TATA-less
YDR151C,TATA-less
YDR152W,TATA-less
YDR153C,TATA-less
YDR155C,TATA-containing
YDR156W,TATA-less
YDR157W,TATA-less
YDR158W,TATA-less
YDR159W,TATA-less
YDR160W,TATA-less
YDR161W,TATA-less
YDR162C,TATA-less
YDR163W,TATA-less
YDR164C,TATA-less
YDR165W,TATA-less
YDR167W,TATA-less
YDR168W,TATA-less
YDR169C,TATA-less
YDR170C,TATA-less
YDR171W,TATA-containing
YDR172W,TATA-less
YDR173C,TATA-less
YDR174W,TATA-less
YDR175C,TATA-less
YDR176W,TATA-less
YDR177W,TATA-less
YDR178W,TATA-containing
YDR180W,TATA-less
YDR184C,TATA-less
YDR185C,TATA-less
YDR186C,TATA-less
YDR188W,TATA-less
YDR189W,TATA-less
YDR190C,TATA-less
YDR191W,TATA-less
YDR192C,TATA-less
YDR194C,TATA-containing
YDR195W,TATA-containing
YDR196C,TATA-less
YDR197W,TATA-less
YDR198C,TATA-less
YDR200C,TATA-less
YDR205W,TATA-less
YDR206W,TATA-less
YDR207C,TATA-less
YDR208W,TATA-less
YDR210W,TATA-containing
YDR211W,TATA-containing
YDR212W,TATA-less
YDR214W,TATA-less
YDR219C,TATA-less
YDR221W,TATA-less
YDR222W,TATA-containing
YDR224C,TATA-containing
YDR225W,TATA-containing
YDR226W,TATA-containing
YDR227W,TATA-less
YDR228C,TATA-less
YDR231C,TATA-less
YDR232W,TATA-less
YDR233C,TATA-containing
YDR234W,TATA-containing
YDR235W,TATA-less
YDR236C,TATA-less
YDR237W,TATA-less
YDR238C,TATA-less
YDR239C,TATA-less
YDR243C,TATA-less
YDR244W,TATA-containing
YDR245W,TATA-less
YDR246W,TATA-less
YDR247W,TATA-less
YDR248C,TATA-containing
YDR249C,TATA-less
YDR251W,TATA-less
YDR252W,TATA-less
YDR253C,TATA-less
YDR254W,TATA-less
YDR255C,TATA-less
YDR257C,TATA-less
YDR258C,TATA-containing
YDR260C,TATA-less
YDR261C,TATA-containing
YDR262W,TATA-containing
YDR264C,TATA-less
YDR265W,TATA-less
YDR266C,TATA-less
YDR267C,TATA-less
YDR268W,TATA-less
YDR270W,TATA-less
YDR272W,TATA-less
YDR276C,TATA-containing
YDR277C,TATA-containing
YDR280W,TATA-less
YDR281C,TATA-less
YDR282C,TATA-containing
YDR283C,TATA-less
YDR284C,TATA-containing
YDR288W,TATA-less
YDR292C,TATA-less
YDR293C,TATA-less
YDR294C,TATA-containing
YDR295C,TATA-less
YDR296W,TATA-less
YDR297W,TATA-containing
YDR298C,TATA-less
YDR299W,TATA-containing
YDR300C,TATA-less
YDR301W,TATA-less
YDR303C,TATA-less
YDR305C,TATA-less
YDR307W,TATA-less
YDR308C,TATA-less
YDR309C,TATA-less
YDR310C,TATA-less
YDR311W,TATA-less
YDR312W,TATA-less
YDR313C,TATA-less
YDR314C,TATA-less
YDR316W,TATA-less
YDR319C,TATA-less
YDR320C,TATA-less
YDR321W,TATA-less
YDR322C-A,TATA-less
YDR322W,TATA-less
YDR323C,TATA-less
YDR324C,TATA-less
YDR325W,TATA-less
YDR326C,TATA-containing
YDR328C,TATA-less
YDR329C,TATA-less
YDR330W,TATA-less
YDR331W,TATA-less
YDR332W,TATA-less
YDR333C,TATA-less
YDR334W,TATA-less
YDR335W,TATA-less
YDR337W,TATA-less
YDR339C,TATA-less
YDR341C,TATA-less
YDR345C,TATA-containing
YDR347W,TATA-less
YDR348C,TATA-less
YDR349C,TATA-less
YDR350C,TATA-less
YDR351W,TATA-less
YDR353W,TATA-less
YDR354W,TATA-less
YDR357C,TATA-less
YDR358W,TATA-containing
YDR359C,TATA-less
YDR361C,TATA-less
YDR362C,TATA-less
YDR363W,TATA-less
YDR363W-A,TATA-less
YDR364C,TATA-less
YDR365C,TATA-less
YDR367W,TATA-less
YDR368W,TATA-less
YDR370C,TATA-containing
YDR371W,TATA-less
YDR372C,TATA-less
YDR373W,TATA-less
YDR374W-A,TATA-less
YDR375C,TATA-less
YDR376W,TATA-less
YDR377W,TATA-less
YDR378C,TATA-less
YDR379W,TATA-less
YDR381C-A,TATA-containing
YDR381W,TATA-containing
YDR382W,TATA-less
YDR384C,TATA-less
YDR385W,TATA-less
YDR386W,TATA-less
YDR387C,TATA-less
YDR388W,TATA-less
YDR390C,TATA-less
YDR392W,TATA-less
YDR393W,TATA-less
YDR394W,TATA-less
YDR395W,TATA-less
YDR397C,TATA-containing
YDR398W,TATA-less
YDR399W,TATA-less
YDR400W,TATA-less
YDR404C,TATA-less
YDR405W,TATA-less
YDR406W,TATA-containing
YDR407C,TATA-containing
YDR408C,TATA-less
YDR409W,TATA-less
YDR410C,TATA-containing
YDR411C,TATA-less
YDR412W,TATA-less
YDR415C,TATA-less
YDR416W,TATA-less
YDR418W,TATA-less
YDR420W,TATA-less
YDR422C,TATA-less
YDR423C,TATA-less
YDR424C,TATA-less
YDR427W,TATA-less
YDR429C,TATA-less
YDR432W,TATA-less
YDR434W,TATA-containing
YDR436W,TATA-less
YDR437W,TATA-less
YDR439W,TATA-less
YDR441C,TATA-containing
YDR443C,TATA-less
YDR444W,TATA-less
YDR447C,TATA-less
YDR448W,TATA-containing
YDR449C,TATA-less
YDR450W,TATA-less
YDR451C,TATA-containing
YDR452W,TATA-less
YDR453C,TATA-less
YDR454C,TATA-less
YDR456W,TATA-less
YDR457W,TATA-less
YDR458C,TATA-less
YDR459C,TATA-less
YDR460W,TATA-less
YDR461C-A,TATA-less
YDR461W,TATA-containing
YDR462W,TATA-less
YDR463W,TATA-less
YDR464W,TATA-less
YDR465C,TATA-less
YDR466W,TATA-less
YDR468C,TATA-less
YDR471W,TATA-less
YDR472W,TATA-less
YDR473C,TATA-less
YDR475C,TATA-less
YDR476C,TATA-containing
YDR477W,TATA-less
YDR478W,TATA-less
YDR479C,TATA-less
YDR480W,TATA-less
YDR481C,TATA-containing
YDR482C,TATA-less
YDR483W,TATA-less
YDR484W,TATA-less
YDR486C,TATA-less
YDR487C,TATA-containing
YDR488C,TATA-less
YDR489W,TATA-less
YDR490C,TATA-less
YDR492W,TATA-containing
YDR493W,TATA-less
YDR494W,TATA-less
YDR495C,TATA-less
YDR496C,TATA-less
YDR497C,TATA-containing
YDR498C,TATA-less
YDR499W,TATA-less
YDR500C,TATA-less
YDR502C,TATA-less
YDR503C,TATA-less
YDR506C,TATA-less
YDR507C,TATA-less
YDR508C,TATA-containing
YDR510W,TATA-less
YDR511W,TATA-less
YDR512C,TATA-less
YDR513W,TATA-containing
YDR516C,TATA-containing
YDR517W,TATA-less
YDR518W,TATA-less
YDR519W,TATA-less
YDR520C,TATA-less
YDR524C,TATA-less
YDR524C-B,TATA-containing
YDR525W-A,TATA-less
YDR528W,TATA-containing
YDR529C,TATA-less
YDR530C,TATA-less
YDR531W,TATA-less
YDR532C,TATA-less
YDR533C,TATA-containing
YDR534C,TATA-less
YDR539W,TATA-less
YEL001C,TATA-less
YEL002C,TATA-less
YEL003W,TATA-less
YEL006W,TATA-containing
YEL007W,TATA-less
YEL008C-A,TATA-less
YEL008W,TATA-containing
YEL012W,TATA-less
YEL013W,TATA-less
YEL015W,TATA-less
YEL017C-A,TATA-less
YEL017W,TATA-less
YEL018W,TATA-less
YEL020C-B,TATA-less
YEL020W-A,TATA-containing
YEL022W,TATA-less
YEL024W,TATA-less
YEL025C,TATA-less
YEL026W,TATA-less
YEL027W,TATA-less
YEL029C,TATA-less
YEL031W,TATA-less
YEL032W,TATA-less
YEL034W,TATA-less
YEL036C,TATA-less
YEL037C,TATA-less
YEL038W,TATA-less
YEL040W,TATA-containing
YEL042W,TATA-less
YEL043W,TATA-less
YEL044W,TATA-less
YEL046C,TATA-containing
YEL047C,TATA-containing
YEL048C,TATA-less
YEL050C,TATA-less
YEL051W,TATA-less
YEL052W,TATA-less
YEL053C,TATA-less
YEL054C,TATA-less
YEL055C,TATA-less
YEL056W,TATA-less
YEL058W,TATA-less
YEL060C,TATA-containing
YEL061C,TATA-less
YEL062W,TATA-less
YEL063C,TATA-less
YEL065W,TATA-containing
YEL068C,TATA-less
YEL071W,TATA-containing
YEL072W,TATA-less
YER001W,TATA-containing
YER002W,TATA-less
YER003C,TATA-less
YER004W,TATA-less
YER005W,TATA-less
YER006W,TATA-less
YER007C-A,TATA-less
YER008C,TATA-less
YER010C,TATA-less
YER011W,TATA-containing
YER012W,TATA-less
YER013W,TATA-less
YER015W,TATA-less
YER016W,TATA-less
YER017C,TATA-less
YER018C,TATA-less
YER019C-A,TATA-less
YER019W,TATA-less
YER020W,TATA-containing
YER021W,TATA-less
YER022W,TATA-less
YER023W,TATA-less
YER025W,TATA-less
YER026C,TATA-containing
YER027C,TATA-less
YER028C,TATA-containing
YER029C,TATA-less
YER031C,TATA-less
YER032W,TATA-less
YER033C,TATA-less
YER035W,TATA-less
YER036C,TATA-containing
YER039C,TATA-less
YER040W,TATA-less
YER042W,TATA-containing
YER043C,TATA-less
YER044C,TATA-containing
YER047C,TATA-less
YER048C,TATA-less
YER048W-A,TATA-less
YER049W,TATA-less
YER050C,TATA-less
YER051W,TATA-less
YER052C,TATA-containing
YER053C,TATA-less
YER055C,TATA-containing
YER056C,TATA-containing
YER056C-A,TATA-less
YER057C,TATA-less
YER058W,TATA-less
YER059W,TATA-less
YER060W,TATA-containing
YER061C,TATA-less
YER062C,TATA-containing
YER063W,TATA-less
YER064C,TATA-containing
YER065C,TATA-less
